outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.0005968466261525117,0.0009633622457649616,-0.6195453774281795,0.5355571380318154,7726,2373,3698,-0.0005428244260391623,0.28035205798602125,0.0,0.0,23,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005968466261525117,0.0009633622457649616,-0.6195453774281795,0.5355571380318154,7726,2373,3698,-0.0005428244260391623,0.28035205798602125,0.0,0.0,23,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.000332971185342405,0.0011228729380159466,-0.2965350522479831,0.7668215021801368,7726,2373,3698,-0.0009225149162239022,0.28035205798602125,0.0,0.0,23,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0003329711853424052,0.0011228729380159468,-0.2965350522479832,0.7668215021801368,7726,2373,3698,-0.0009225149162239022,0.28035205798602125,0.0,0.0,23,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0002030741140908342,0.0009077274665604742,0.2237170533798154,0.8229774755694086,7807,2379,3707,-0.0009595690656860504,0.27142308184962216,0.0,0.0,24,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0002030741140908342,0.0009077274665604742,0.2237170533798154,0.8229774755694086,7807,2379,3707,-0.0009595690656860504,0.27142308184962216,0.0,0.0,24,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-3.755764604188857e-05,0.0011446185849737314,-0.03281236783583285,0.9738242154175467,7807,2379,3707,-0.0006864572605348774,0.27142308184962216,0.0,0.0,24,event_fe
peer_car_m1_p1_mm,specz_ai_active,-3.7557646041888354e-05,0.0011446185849737314,-0.03281236783583266,0.9738242154175467,7807,2379,3707,-0.0006864572605348774,0.27142308184962216,0.0,0.0,24,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00044753812384078966,0.0008600662113764634,-0.5203531052853974,0.6028174885959399,7740,2381,3677,-0.0009036168181930713,0.27364341085271315,0.0,0.0,25,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.00044753812384078977,0.0008600662113764634,-0.5203531052853975,0.6028174885959396,7740,2381,3677,-0.0009036168181930713,0.27364341085271315,0.0,0.0,25,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0011429558421527266,0.0009892338159730738,-1.1553950377529725,0.24792869306162846,7740,2381,3677,-0.0006537403928767778,0.27364341085271315,0.0,0.0,25,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0011429558421527266,0.0009892338159730738,-1.1553950377529725,0.24792869306162846,7740,2381,3677,-0.0006537403928767778,0.27364341085271315,0.0,0.0,25,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0011031796743158609,0.0009071019610370057,-1.2161584052300995,0.22392458529281,7713,2367,3709,-0.00010725136896497563,0.2670815506288085,0.0,0.0,26,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0011031796743158607,0.0009071019610370057,-1.2161584052300993,0.22392458529281,7713,2367,3709,-0.00010725136896497563,0.2670815506288085,0.0,0.0,26,event_fe_peer_industry_week_fe
