outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,0.0002010305925153813,0.0005313352740837139,0.3783497959213379,0.7051707580390398,20159,2598,4646,-0.0005188118645743415,0.2759065429832829,29,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00020103059251538126,0.000531335274083714,0.3783497959213378,0.7051707580390401,20159,2598,4646,-0.0005188118645743415,0.2759065429832829,29,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,8.320751225799904e-05,0.0006374677493047619,0.13052819118888323,0.8961485515896648,20159,2598,4646,-0.0005674972285234686,0.2759065429832829,29,event_fe
peer_car_m1_p1_mm,specz_ai_active,8.320751225799898e-05,0.0006374677493047619,0.13052819118888312,0.8961485515896648,20159,2598,4646,-0.0005674972285234686,0.2759065429832829,29,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006129529754687546,0.0005236162567039705,-1.1706148684671016,0.2417536181147042,20189,2599,4666,-0.00045161595824505177,0.27747783446431223,30,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006129529754687545,0.0005236162567039704,-1.1706148684671018,0.2417536181147042,20189,2599,4666,-0.00045161595824505177,0.27747783446431223,30,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004012706380043898,0.0006475162142806702,-0.6197074747389357,0.5354503936489383,20189,2599,4666,-0.0003814907665618557,0.27747783446431223,30,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004012706380043899,0.0006475162142806702,-0.619707474738936,0.5354503936489383,20189,2599,4666,-0.0003814907665618557,0.27747783446431223,30,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006233612997304283,0.0005205162539855838,-1.197582774711379,0.2310794852800806,20068,2598,4645,-0.001239159003304395,0.2739685070759418,31,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006233612997304284,0.0005205162539855838,-1.1975827747113792,0.2310794852800806,20068,2598,4645,-0.001239159003304395,0.2739685070759418,31,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0012054557951032478,0.0006600370334852375,-1.8263456956922541,0.06779820616241339,20068,2598,4645,-0.0014812008975882813,0.2739685070759418,31,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0012054557951032478,0.0006600370334852376,-1.826345695692254,0.06779820616241361,20068,2598,4645,-0.0014812008975882813,0.2739685070759418,31,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009712738753803108,0.0005503681852349031,-1.7647711140238975,0.07760224122930426,20176,2599,4655,-0.0008802093372745188,0.2757731958762887,32,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009712738753803108,0.0005503681852349031,-1.7647711140238975,0.07760224122930426,20176,2599,4655,-0.0008802093372745188,0.2757731958762887,32,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.001266789757894567,0.0006312963763124177,-2.0066482327908286,0.04478713171442017,20176,2599,4655,-0.0007050313313612522,0.2757731958762887,32,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0012667897578945667,0.0006312963763124177,-2.006648232790828,0.04478713171442017,20176,2599,4655,-0.0007050313313612522,0.2757731958762887,32,event_fe_peer_industry_week_fe
