model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,event_cluster,product_similarity,-0.0024745734935888333,0.0032828775570075417,-0.7537818424895792,0.45098022867326226,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,0.00013578524222785618,0.00041798592075339503,0.32485601903315614,0.7452900447492175,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.0004658994297893665,0.00043096967733294316,-1.0810492113333499,0.2796752237300397,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,twoway_event_peer,product_similarity,-0.0024745734935888333,0.003553411614372683,-0.6963937089583957,0.4861823017508944,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M1_specz_x_ai_active,all_events,5,raw,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,0.0001523702855519026,0.0004991843478477908,0.30523850799577296,0.7601845057996912,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M1_specz_x_ai_active,all_events,5,raw,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.0007198903184831321,0.0005139014049604697,-1.400833528638645,0.16126385981519853,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M1_specz_x_ai_active,all_events,5,raw,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,0.0001523702855519026,0.0005986055752796766,0.25454204211297754,0.7990768284609873,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M1_specz_x_ai_active,all_events,5,raw,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.0007198903184831321,0.0005429497993729339,-1.3258874380551409,0.18487698453873325,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,0.00018219309394274346,0.0004999177853402696,0.3644461135119118,0.7155249060138162,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.0007158482310401387,0.0005139198126524598,-1.3929181429014759,0.1636445454010551,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,event_cluster,product_similarity,-0.007880202874259602,0.004060458906736144,-1.9407173069001267,0.052292575965269705,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,0.00018219309394274346,0.0006015632860128078,0.30286604614840873,0.761991948025762,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.0007158482310401387,0.0005434756244461791,-1.317167134716692,0.1877826076165121,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M2_plus_similarity_control,all_events,5,raw,peer_car_m1_p1_ma,twoway_event_peer,product_similarity,-0.007880202874259602,0.004467958751507509,-1.7637143296367241,0.07778008732303476,95348,20117,2652,4254,0.003360789570835256,0.5556802449972732
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,0.00015376571124415267,0.0002388443573934558,0.6437904287219547,0.5197113411571648,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
